name,rating,post_code,cuisine
The Beast,4.1,199329,Fusion
The Assembly Ground,4.4,229233,"Desserts,Fusion"
Meat n' Chill,4.4,279883,Fusion
The Armoury,4.0,189766,Fusion
The Coffee Academics,3.7,179103,Fusion
Brine,4.5,198743,Fusion
Black Pearl,3.9,455222,Fusion
Dumplings.ru,4.5,069115,Fusion
Eleven Strands,4.3,545568,Fusion
Ryan's Kitchen,4.2,237994,Fusion
