Name,Rating,Post Code,Cuisine
Beng Hiang Restaurant,3.9,600135,Seafood
Lighthouse Bistro & Bar,4.5,208738,Seafood
Scaled by Ah Hua Kelong,4.8,209179,Seafood
Ginger,3.4,199591,Seafood
The Bettership,4.0,229233,Seafood
T.K Kitchen,3.9,600037,Seafood
Lobsters & Ice Cream v2.0,4.3,081007,Seafood
Luke's Lobster,2.5,238868,Seafood
House Of Chirashi,4.8,487048,Seafood
Euro Thai Kitchen and Mala House,5,082001,Seafood
