name,rating,post_code,cuisine
Hjh Maimunah Restaurant,4.4,427357,Malay
Air Pasang Eating House,4.1,650375,Malay
Istanbul,4.1,520476,Malay
Pu3 Restaurant,4.3,238164,Malay
Aspirasi Chicken Rice,4.1,099114,Malay
363 Katong Laksa Holland Village Nasi Lemak,2.7,277700,Malay
CRAVE Nasi Lemak,3.7,467360,Malay
Impian Wahyu,4.6,208805,Malay
Wedang,4.6,199583,Malay
Soulfood Catering,4.8,198614,Malay
