name,rating,post_code,cuisine
The Banana Leaf Apolo,4.1,449269,Indian
Mr and Mrs Mohgan's Super Crispy Roti Prata,4.3,427551,Indian
Riverwalk Tandoor Restaurant,3.9,058416,Indian
Chat Masala,4.1,455254,Indian
Foodcoholic,4.4,049422,"Indian,Fusion"
Curry Nations,4.5,138567,Indian
Salaam Bombay,4.5,138522,Indian
Genius Central,4.3,049949,Indian
Noorvajagath 815 Indian Muslim Food,3.0,640815,Indian
